"CertificateOfOrigin","EUCitizen","Perishable","Fragile","Volume","PreDeclared","MultiplePackage","Category","OnlineDeclaration","ExporterValidation","SecuredDelivery","LithiumBatteries","ExpressDelivery","EntryPoint","Origin","PaperlessBilling","PaymentMethod","Weight","Price","Inspection","packageID"
"Yes",0,"Yes","No",57,"Yes","No","Electronics","No","No","No","No","No","Brussels","US","Yes","Electronic check",80.9,4557.5,"No","4869-EPIUS"
"Yes",0,"Yes","No",39,"Yes","No","Electronics","Yes","Yes","No","No","No","Antwerp","China","Yes","Electronic check",79.45,3013.05,"Yes","9948-YPTDG"
"Yes",1,"No","No",15,"Yes","No","Electronics","No","No","No","No","Yes","Brussels","China","No","Credit card (automatic)",90.45,1266.1,"Yes","1236-WFCDV"
"No",0,"No","Yes",17,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","Yes","Bank transfer (automatic)",19.3,360.35,"No","1915-OAKWD"
"No",0,"Yes","Yes",15,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","No","Electronic check",70.2,1046.5,"No","7296-PIXQY"
"Yes",0,"Yes","Yes",33,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","Yes","Bank transfer (automatic)",69.75,2347.9,"Yes","4883-QICIH"
"No",0,"No","No",9,"Yes","No","Clothing","Yes","No","No","Yes","No","Antwerp","US","No","Bank transfer (automatic)",54.25,447.75,"No","3354-OADJP"
"No",0,"Yes","Yes",44,"Yes","Yes","Electronics","No","No","Yes","No","Yes","Brussels","China","Yes","Bank transfer (automatic)",99.3,4209.95,"No","3524-WQDSG"
"No",0,"No","No",53,"Yes","Yes","Clothing","Yes","No","Yes","Yes","Yes","Antwerp","US","No","Credit card (automatic)",74,3877.65,"No","0810-DHDBD"
"Yes",0,"No","No",4,"Yes","No","Clothing","No","No","No","Yes","No","Antwerp","China","Yes","Mailed check",50.25,152.3,"No","4026-SKKHW"
"Yes",0,"No","No",30,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","Yes","Mailed check",19.8,572.2,"No","2829-HYVZP"
"No",0,"No","No",2,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Mailed check",19.65,19.65,"Yes","8329-IBCTI"
"Yes",1,"No","No",13,"No",NA,"Clothing","No","No","Yes","Yes","No","Brussels","China","Yes","Electronic check",43.65,526.95,"Yes","1271-SJBGZ"
"No",0,"Yes","Yes",17,"No",NA,"Clothing","No","No","No","No","No","Brussels","China","Yes","Credit card (automatic)",35.5,552.7,"No","3845-JHAMY"
"No",0,"No","No",41,"Yes","Yes","Clothing","No","No","Yes","Yes","Yes","Brussels","US","Yes","Mailed check",80.75,3208.65,"No","7013-PSXHK"
"No",0,"No","No",6,"No",NA,"Clothing","No","No","Yes","No","No","Brussels","China","No","Electronic check",39.5,210.75,"Yes","5669-SRAIP"
"Yes",0,"Yes","No",41,"Yes","Yes","Electronics","No","No","No","No","Yes","Brussels","China","Yes","Bank transfer (automatic)",97.1,3706.95,"Yes","5981-ITEMU"
"No",0,"No","No",37,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","No","Mailed check",19.55,620.75,"No","3486-NPGST"
"No",0,"No","No",6,"Yes","No","Electronics","No","No","No","No","No","Brussels","China","Yes","Electronic check",80,412.5,"Yes","6941-PMGEP"
"No",0,"No","No",11,"Yes","No","Electronics","Yes","No","No","No","Yes","Antwerp","China","Yes","Mailed check",84.7,832.05,"Yes","1624-WOIWJ"
"Yes",0,"Yes","Yes",3,"Yes","No","Electronics","No","No","No","No","Yes","Brussels","China","Yes","Bank transfer (automatic)",89.55,185.55,"Yes","2074-GKOWZ"
"Yes",0,"No","No",24,"Yes","Yes","Electronics","No","No","No","Yes","Yes","Antwerp","China","Yes","Electronic check",90.6,1943.2,"Yes","0376-YMCJC"
"Yes",0,"Yes","Yes",27,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","Yes","Bank transfer (automatic)",20.05,505.9,"No","6100-FJZDG"
"No",1,"Yes","No",73,"Yes","Yes","Electronics","Yes","Yes","Yes","No","Yes","Brussels","Africa","Yes","Electronic check",112.4,8046.85,"No","4829-ZLJTK"
"No",0,"Yes","No",35,"Yes","No","Clothing","No","No","No","Yes","No","Antwerp","China","No","Bank transfer (automatic)",50.2,1815.3,"No","1730-VFMWO"
"Yes",0,"No","No",11,"Yes","No","Clothing","Yes","No","No","Yes","Yes","Antwerp","China","No","Bank transfer (automatic)",62.25,612.95,"No","7143-BQIBA"
"No",0,"No","No",15,"Yes","No","Clothing","Yes","No","No","Yes","No","Antwerp","US","No","Mailed check",55.7,795.15,"No","3800-LYTRK"
"No",0,"No","No",24,"Yes","Yes","Electronics","Yes","No","No","No","Yes","Antwerp","China","Yes","Bank transfer (automatic)",90.05,2169.8,"Yes","0634-SZPQA"
"Yes",0,"Yes","No",48,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Mailed check",19.65,973.1,"No","9646-NMHXE"
"Yes",0,"Yes","No",25,"Yes","No","Electronics","Yes","No","No","Yes","No","Brussels","China","Yes","Electronic check",89.25,2210.2,"No","7030-NJVDP"
"Yes",0,"Yes","No",50,"Yes","Yes","Electronics","No","Yes","No","No","Yes","Brussels","China","Yes","Bank transfer (automatic)",99.05,4853.75,"Yes","5536-RTPWK"
"Yes",1,"No","No",21,"Yes","No","Clothing","Yes","No","No","Yes","No","Antwerp","US","No","Mailed check",54,1055.9,"No","8883-GRDWQ"
"No",0,"No","No",3,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","No","Bank transfer (automatic)",69.75,144.55,"Yes","6166-ILMNY"
"No",0,"No","No",3,"Yes","No","Clothing","No","Yes","No","No","No","Antwerp","China","Yes","Credit card (automatic)",49.05,91.1,"Yes","3097-NNSPB"
"Yes",0,"No","No",23,"No",NA,"Clothing","No","No","Yes","Yes","Yes","Brussels","Africa","No","Bank transfer (automatic)",56.75,1304.85,"No","7771-ZONAT"
"Yes",0,"No","No",8,"Yes","Yes","Electronics","No","No","Yes","No","Yes","Brussels","China","Yes","Bank transfer (automatic)",98.05,713,"Yes","0655-RBDUG"
"Yes",0,"No","No",2,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Mailed check",21.1,21.1,"No","2111-DWYHN"
"No",0,"Yes","Yes",60,"Yes","Yes","Electronics","No","Yes","No","Yes","No","Brussels","China","Yes","Bank transfer (automatic)",96.65,5580.8,"No","4194-WHFCB"
"No",0,"Yes","Yes",59,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","US","Yes","Credit card (automatic)",24.5,1497.9,"No","4121-AGSIN"
"No",0,"No","No",42,"Yes","Yes","Electronics","Yes","Yes","Yes","Yes","Yes","Brussels","China","Yes","Bank transfer (automatic)",114.5,4527.45,"Yes","4361-BKAXE"
"No",1,"No","No",60,"Yes","Yes","Electronics","No","Yes","No","No","No","Antwerp","Africa","Yes","Credit card (automatic)",79.2,4590.35,"No","9845-PEEKO"
"No",0,"Yes","Yes",4,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","Yes","Electronic check",69.55,200.2,"No","0455-XFASS"
"Yes",0,"No","No",33,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","Yes","Bank transfer (automatic)",20.05,614.45,"No","0301-KOBTQ"
"Yes",1,"Yes","No",47,"Yes","Yes","Electronics","No","No","Yes","No","Yes","Brussels","China","Yes","Electronic check",98.85,4564.9,"No","1751-NCDLI"
"Yes",0,"Yes","Yes",1,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Mailed check",25.75,NA,"No","4367-NUYAO"
"Yes",0,"No","No",3,"Yes","No","Electronics","No","No","No","No","No","Brussels","China","Yes","Electronic check",80.95,171.15,"Yes","9878-TNQGW"
"No",0,"Yes","Yes",53,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","No","Credit card (automatic)",19.6,1012.4,"No","9170-ARBTB"
"No",1,"No","No",14,"Yes","No","Electronics","No","No","Yes","No","No","Antwerp","China","Yes","Electronic check",74.3,940.35,"Yes","4441-NIHPT"
"No",1,"No","No",12,"Yes","No","Electronics","No","No","No","No","Yes","Brussels","China","No","Bank transfer (automatic)",89.7,1047.7,"Yes","8999-BOHSE"
"Yes",0,"No","No",33,"Yes","Yes","Electronics","Yes","No","No","Yes","No","Antwerp","China","No","Bank transfer (automatic)",87.65,2766.4,"No","7241-AJHFS"
"Yes",1,"Yes","No",18,"Yes","Yes","Electronics","No","No","Yes","No","Yes","Brussels","China","Yes","Credit card (automatic)",100.45,1622.45,"Yes","7029-RPUAV"
"No",0,"No","No",17,"Yes","Yes","Electronics","No","No","No","No","No","Antwerp","China","Yes","Credit card (automatic)",74.75,1129.35,"No","4546-FOKWR"
"No",0,"No","No",52,"Yes","Yes","Electronics","Yes","Yes","Yes","No","Yes","Brussels","US","No","Bank transfer (automatic)",107.45,5680.9,"No","9036-CSKBW"
"Yes",0,"No","No",30,"Yes","No","Clothing","No","No","Yes","Yes","Yes","Brussels","US","Yes","Bank transfer (automatic)",75.35,2243.9,"No","5832-TRLPB"
"Yes",0,"Yes","No",71,"Yes","No","Clothing","Yes","Yes","Yes","Yes","No","Antwerp","Africa","No","Credit card (automatic)",64.95,4523.25,"No","8590-YFFQO"
"No",0,"Yes","Yes",72,"Yes","Yes","Electronics","Yes","No","Yes","Yes","No","Brussels","Africa","No","Electronic check",100.45,7159.7,"No","8659-IOOPU"
"Yes",0,"Yes","Yes",42,"Yes","Yes","Clothing","No","Yes","Yes","No","Yes","Antwerp","US","No","Bank transfer (automatic)",68.5,2839.95,"No","1338-CECEE"
"Yes",0,"No","No",2,"Yes","No","Electronics","No","No","No","No","Yes","Antwerp","China","Yes","Electronic check",80.55,80.55,"No","7439-DKZTW"
"No",0,"Yes","No",8,"Yes","No","Clothing","Yes","No","Yes","Yes","Yes","Brussels","China","No","Bank transfer (automatic)",81.25,580.1,"No","4646-QZXTF"
"Yes",0,"Yes","Yes",26,"Yes","No","Electronics","No","No","No","No","Yes","Brussels","US","Yes","Electronic check",90.4,2178.6,"Yes","4607-CHPCA"
"Yes",0,"Yes","Yes",68,"Yes","Yes","Electronics","Yes","Yes","No","Yes","No","Antwerp","US","No","Electronic check",89.55,6038.55,"No","9742-XOKTS"
"Yes",0,"Yes","Yes",6,"Yes","Yes","Clothing","No","No","No","Yes","No","Antwerp","China","Yes","Mailed check",55.7,259.4,"No","6921-OZMFH"
"Yes",0,"No","Yes",16,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","China","Yes","Electronic check",24.8,324.15,"No","9578-FOMUK"
"No",0,"Yes","Yes",21,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Electronic check",20,417.65,"No","4712-UYOOI"
"Yes",0,"Yes","Yes",4,"Yes","No","Clothing","No","Yes","Yes","No","No","Antwerp","China","Yes","Mailed check",56.15,168.15,"Yes","8824-RWFXJ"
"Yes",0,"Yes","Yes",55,"Yes","Yes","Electronics","No","Yes","No","Yes","Yes","Brussels","US","Yes","Electronic check",105.2,5637.85,"No","7722-CVFXN"
"Yes",0,"No","No",43,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","Yes","Mailed check",19.55,839.4,"No","8717-VCTXJ"
"No",0,"Yes","No",10,"Yes","No","Electronics","No","No","No","No","No","Brussels","China","Yes","Electronic check",79.75,769.1,"No","7363-QTBIW"
"No",0,"No","No",64,"Yes","Yes","Electronics","No","Yes","No","No","Yes","Brussels","Africa","No","Bank transfer (automatic)",97.45,6253,"No","4159-NAAIX"
"No",0,"Yes","No",70,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Bank transfer (automatic)",24.25,1641.8,"No","0971-QIFJK"
"No",0,"No","No",70,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Credit card (automatic)",24.6,1678.05,"No","9397-TZSHA"
"Yes",0,"Yes","No",41,"Yes","No","Clothing","No","Yes","No","No","No","Antwerp","China","Yes","Mailed check",50.15,2058.5,"No","3391-JSQEW"
"Yes",0,"No","No",61,"No",NA,"Clothing","Yes","Yes","Yes","No","No","Antwerp","Africa","No","Bank transfer (automatic)",39.6,2424.5,"No","0343-QLUZP"
"No",0,"No","No",5,"Yes","No","Electronics","Yes","No","Yes","Yes","No","Brussels","China","Yes","Bank transfer (automatic)",94.4,387.2,"Yes","9763-PDTKK"
"No",1,"No","No",72,"Yes","Yes","Clothing","Yes","Yes","Yes","Yes","Yes","Brussels","Africa","No","Mailed check",89.85,6293.45,"No","2176-LVPNX"
"No",0,"Yes","No",38,"Yes","Yes","Electronics","No","No","Yes","No","No","Antwerp","China","Yes","Credit card (automatic)",78.95,2839.65,"Yes","7627-JKIAZ"
"Yes",0,"Yes","No",33,"Yes","Yes","Electronics","No","Yes","No","No","Yes","Brussels","China","Yes","Credit card (automatic)",98.85,3145.9,"No","3312-UUMZW"
"Yes",0,"No","No",40,"Yes","Yes","Clothing","No","No","No","Yes","No","Antwerp","Africa","Yes","Credit card (automatic)",53.85,2200.7,"No","1271-UODNO"
"No",0,"No","No",39,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","US","Yes","Electronic check",24.25,914.4,"No","8461-EFQYM"
"Yes",0,"No","No",53,"Yes","Yes","Electronics","No","No","Yes","No","No","Brussels","Africa","Yes","Credit card (automatic)",89.45,4577.75,"No","6900-RBKER"
"No",0,"Yes","Yes",49,"Yes","Yes","Electronics","Yes","Yes","No","No","Yes","Brussels","China","Yes","Credit card (automatic)",105.25,4997.5,"No","6891-JPYFF"
"Yes",0,"Yes","Yes",71,"No",NA,"Clothing","Yes","No","Yes","Yes","Yes","Brussels","Africa","No","Bank transfer (automatic)",59.5,4144.8,"No","1459-QNFQT"
"Yes",0,"No","No",21,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","No","Credit card (automatic)",70.55,1493.55,"No","1047-NNCBF"
"No",0,"No","No",51,"Yes","Yes","Clothing","Yes","No","Yes","Yes","Yes","Brussels","US","Yes","Credit card (automatic)",82.5,4179.1,"No","3696-XRIEN"
"No",0,"No","No",20,"No",NA,"Clothing","No","No","No","No","Yes","Brussels","US","Yes","Credit card (automatic)",44.85,893.55,"Yes","4081-DYXAV"
"Yes",0,"Yes","Yes",26,"Yes","No","Clothing","Yes","Yes","Yes","No","No","Antwerp","US","Yes","Bank transfer (automatic)",61.6,1611,"No","0074-HDKDG"
"Yes",0,"No","No",13,"Yes","No","Clothing","No","Yes","No","No","No","Antwerp","China","Yes","Bank transfer (automatic)",49.05,593.05,"No","8791-GFXLZ"
"Yes",1,"Yes","No",40,"Yes","Yes","Electronics","No","Yes","Yes","No","Yes","Brussels","China","Yes","Electronic check",105.65,4284.8,"Yes","8111-SLLHI"
"Yes",0,"No","No",8,"Yes","No","Electronics","No","No","Yes","No","No","Antwerp","China","No","Mailed check",74.65,544.55,"Yes","0927-LCSMG"
"No",0,"Yes","Yes",24,"Yes","No","Clothing","Yes","Yes","Yes","Yes","No","Antwerp","US","Yes","Mailed check",66.25,1533.8,"No","9330-DHBFL"
"Yes",0,"No","No",28,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","Yes","Electronic check",19.4,529.8,"No","0098-BOWSO"
"Yes",1,"No","No",48,"Yes","Yes","Electronics","No","No","No","No","Yes","Antwerp","China","Yes","Credit card (automatic)",86.05,3865.6,"No","3452-ABWRL"
"Yes",0,"Yes","Yes",27,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","Yes","Credit card (automatic)",19.15,515.75,"No","5859-HZYLF"
"No",0,"Yes","No",15,"Yes","Yes","Clothing","Yes","No","No","No","Yes","Antwerp","China","Yes","Bank transfer (automatic)",64.7,941,"Yes","8257-RZAHR"
"No",1,"Yes","No",12,"Yes","Yes","Electronics","No","No","Yes","Yes","Yes","Brussels","China","Yes","Bank transfer (automatic)",104.05,1133.65,"Yes","5293-WXJAK"
"Yes",0,"No","Yes",3,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Mailed check",19.25,48.35,"No","3156-QLHBO"
"No",0,"Yes","Yes",27,"Yes","No","Electronics","Yes","Yes","No","No","No","Antwerp","China","No","Electronic check",81.95,2070.05,"No","2208-NQBCT"
"No",1,"Yes","No",73,"Yes","Yes","Electronics","Yes","Yes","Yes","Yes","Yes","Brussels","Africa","Yes","Bank transfer (automatic)",114.65,8333.95,"No","1779-PWPMG"
"No",0,"Yes","Yes",64,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Credit card (automatic)",20,1209.25,"No","6621-NRZAK"
"Yes",0,"Yes","Yes",72,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Mailed check",19.8,1396.25,"No","0831-JNISG"
"Yes",0,"Yes","Yes",12,"Yes","Yes","Clothing","Yes","No","No","No","Yes","Antwerp","China","Yes","Bank transfer (automatic)",65.15,723.35,"No","0774-IFUVM"
"Yes",1,"Yes","No",15,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","No","Mailed check",19.65,228.65,"No","3082-WQRVY"
"No",0,"No","Yes",14,"Yes","Yes","Clothing","Yes","Yes","Yes","Yes","Yes","Brussels","Africa","No","Credit card (automatic)",88.95,1161.75,"No","9553-DLCLU"
"Yes",0,"No","Yes",7,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","Yes","Mailed check",20.2,98.35,"No","1641-BYBTK"
"Yes",1,"Yes","Yes",12,"Yes","Yes","Electronics","No","No","No","No","No","Antwerp","China","Yes","Credit card (automatic)",75.2,775.3,"No","2460-NGXBJ"
"Yes",0,"Yes","No",19,"Yes","Yes","Clothing","No","Yes","No","No","No","Antwerp","China","No","Credit card (automatic)",56.8,1074.65,"No","2446-ZKVAF"
"Yes",0,"No","No",2,"No",NA,"Clothing","No","No","No","No","No","Brussels","China","Yes","Electronic check",35.55,35.55,"Yes","0841-NULXI"
"No",0,"Yes","No",33,"Yes","No","Electronics","Yes","No","No","No","No","Antwerp","China","Yes","Bank transfer (automatic)",75.5,2324.7,"No","3522-CDKHF"
"Yes",0,"No","No",30,"No",NA,"Clothing","Yes","No","No","Yes","No","Antwerp","US","No","Mailed check",35.6,1072.6,"No","1430-SFQSA"
"No",0,"No","No",4,"Yes","Yes","Clothing","No","No","No","No","Yes","Antwerp","China","Yes","Electronic check",60.25,170.5,"No","0411-EZJZE"
"No",0,"No","No",3,"Yes","Yes","Electronics","No","No","No","No","Yes","Brussels","China","Yes","Electronic check",95.15,196.9,"Yes","7851-WZEKY"
"Yes",0,"Yes","Yes",14,"Yes","No","Electronics","No","No","Yes","No","Yes","Brussels","China","Yes","Mailed check",96.65,1162.85,"Yes","8844-TONUD"
"No",0,"No","No",42,"No",NA,"Clothing","No","Yes","No","No","No","Brussels","China","Yes","Electronic check",40.35,1677.85,"No","8807-ARQET"
"No",0,"No","No",2,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Electronic check",18.85,18.85,"No","8992-CEUEN"
"Yes",0,"No","No",8,"Yes","No","Clothing","No","No","No","No","Yes","Antwerp","China","No","Mailed check",54.85,370.4,"No","4320-QMLLA"
"No",0,"Yes","No",53,"Yes","No","Clothing","Yes","No","Yes","No","Yes","Antwerp","US","Yes","Mailed check",64.3,3410.6,"No","8777-PVYGU"
"No",0,"Yes","Yes",46,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","Africa","Yes","Bank transfer (automatic)",24.65,1138.8,"No","8292-ITGYJ"
"Yes",0,"Yes","No",71,"Yes","Yes","Clothing","No","Yes","Yes","Yes","Yes","Antwerp","Africa","No","Credit card (automatic)",76.1,5264.25,"No","6870-ZWMNX"
"No",0,"No","No",54,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Mailed check",18.7,1005.7,"No","0621-CXBKL"
"No",1,"Yes","No",63,"Yes","Yes","Electronics","No","Yes","Yes","No","Yes","Antwerp","US","Yes","Credit card (automatic)",97.95,5936.55,"No","5268-DSMNQ"
"No",0,"Yes","No",61,"Yes","Yes","Electronics","Yes","Yes","No","No","No","Brussels","China","Yes","Credit card (automatic)",94.1,5475.9,"No","5334-JLAXU"
"No",1,"Yes","No",4,"Yes","No","Electronics","No","No","No","No","Yes","Antwerp","China","Yes","Electronic check",80.4,224.05,"Yes","4086-YQSNZ"
"No",1,"Yes","No",24,"Yes","No","Electronics","Yes","No","No","No","Yes","Brussels","China","Yes","Electronic check",95.1,2326.05,"No","6242-MBHPK"
"Yes",0,"No","Yes",2,"No",NA,"Clothing","No","Yes","No","No","No","Antwerp","China","Yes","Mailed check",31.35,31.35,"Yes","5868-CZJDR"
"No",0,"No","No",68,"Yes","No","Clothing","Yes","No","Yes","Yes","No","Brussels","US","Yes","Bank transfer (automatic)",72.35,4991.5,"No","9359-UGBTK"
"No",0,"No","No",13,"Yes","Yes","Electronics","No","Yes","No","No","Yes","Antwerp","China","Yes","Bank transfer (automatic)",89.75,1052.4,"Yes","0135-NMXAP"
"No",1,"Yes","No",72,"Yes","Yes","Clothing","Yes","Yes","Yes","Yes","No","Brussels","Africa","Yes","Bank transfer (automatic)",82.7,5831.2,"No","4782-OSFXZ"
"Yes",0,"No","No",26,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","No","Credit card (automatic)",19.9,510.8,"No","6479-OAUSD"
"No",0,"No","No",6,"Yes","Yes","Clothing","Yes","No","No","No","No","Antwerp","China","Yes","Electronic check",53.8,283.95,"No","7129-ACFOG"
"Yes",0,"No","No",27,"Yes","Yes","Clothing","No","No","No","No","No","Antwerp","US","Yes","Credit card (automatic)",51.55,1295.4,"No","4189-NAKJS"
"Yes",0,"Yes","Yes",2,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","No","Mailed check",19.65,19.65,"No","5562-BETPV"
"Yes",1,"No","No",71,"No",NA,"Clothing","No","Yes","Yes","No","Yes","Antwerp","US","Yes","Credit card (automatic)",44.05,3011.65,"No","1282-IHQAC"
"Yes",0,"Yes","Yes",73,"Yes","Yes","Electronics","Yes","Yes","Yes","Yes","Yes","Brussels","Africa","Yes","Electronic check",114,8093.15,"No","9127-FHJBZ"
"Yes",0,"Yes","No",61,"Yes","No","Electronics","No","Yes","No","No","Yes","Brussels","US","Yes","Electronic check",94.4,5610.25,"Yes","6270-OMFIW"
"No",1,"Yes","Yes",33,"Yes","Yes","Electronics","No","Yes","No","No","Yes","Brussels","China","Yes","Electronic check",100.4,3217.65,"No","1641-RQDAY"
"Yes",0,"No","No",2,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","Yes","Electronic check",19.85,19.85,"Yes","0107-WESLM"
"No",0,"No","No",15,"Yes","Yes","Clothing","No","Yes","No","No","No","Antwerp","US","Yes","Mailed check",54.25,773.2,"No","6994-ORCWG"
"No",0,"No","No",14,"Yes","Yes","Electronics","Yes","No","No","No","No","Antwerp","China","Yes","Credit card (automatic)",80,1029.35,"No","1346-UFHAX"
"No",0,"No","No",7,"Yes","Yes","Electronics","No","Yes","Yes","Yes","Yes","Brussels","China","Yes","Credit card (automatic)",109.9,669.45,"Yes","3992-YWPKO"
"No",0,"No","No",47,"Yes","Yes","Clothing","Yes","No","Yes","No","Yes","Brussels","Africa","No","Mailed check",79.2,3593.8,"No","2933-XEUJM"
"Yes",0,"No","No",16,"Yes","No","Electronics","No","No","Yes","Yes","Yes","Brussels","China","Yes","Electronic check",101.35,1553.95,"Yes","0125-LZQXK"
"Yes",1,"Yes","No",44,"Yes","Yes","Electronics","No","Yes","No","Yes","Yes","Antwerp","China","Yes","Electronic check",94.3,3953.15,"No","5461-QKNTN"
"Yes",0,"No","No",40,"Yes","No","Clothing","No","No","No","Yes","No","Antwerp","Africa","Yes","Bank transfer (automatic)",49.8,1971.15,"No","4835-YSJMR"
"Yes",1,"No","No",22,"Yes","No","Clothing","No","No","Yes","No","Yes","Antwerp","China","Yes","Bank transfer (automatic)",60.05,1236.15,"Yes","8399-YNDCH"
"Yes",0,"No","No",58,"No",NA,"Clothing","Yes","No","Yes","No","Yes","Brussels","China","Yes","Electronic check",53.75,3196,"No","3164-YAXFY"
"No",0,"Yes","No",54,"Yes","No","Electronics","No","No","No","Yes","Yes","Brussels","US","Yes","Electronic check",93.45,4872.2,"No","0887-WBJVH"
"Yes",0,"Yes","Yes",19,"Yes","No","Electronics","Yes","No","Yes","No","Yes","Antwerp","China","Yes","Mailed check",87.9,1500.5,"No","4660-IRIBM"
"No",0,"No","No",2,"Yes","Yes","Clothing","No","No","No","No","No","Brussels","China","Yes","Electronic check",60.15,60.15,"Yes","5673-FSSMF"
"No",0,"Yes","No",59,"Yes","Yes","Clothing","Yes","No","No","Yes","No","Antwerp","US","Yes","Bank transfer (automatic)",61.05,3478.75,"No","7670-ZBPOQ"
"No",1,"No","No",72,"Yes","Yes","Electronics","No","No","Yes","No","Yes","Brussels","Africa","No","Bank transfer (automatic)",104.05,7413.55,"No","8089-UZWLX"
"No",0,"No","No",36,"Yes","No","Electronics","No","No","Yes","Yes","Yes","Brussels","US","Yes","Electronic check",99.25,3532,"No","0080-OROZO"
"Yes",0,"No","No",4,"Yes","No","Electronics","No","No","Yes","No","No","Brussels","China","No","Credit card (automatic)",85.7,256.75,"No","3916-NRPAP"
"Yes",0,"No","No",39,"Yes","Yes","Electronics","Yes","Yes","No","No","Yes","Brussels","US","Yes","Electronic check",104.85,3887.25,"No","6807-SIWJI"
"Yes",0,"Yes","Yes",36,"Yes","Yes","Clothing","Yes","Yes","Yes","Yes","No","Antwerp","Africa","Yes","Credit card (automatic)",69.15,2490.15,"No","8221-HVAYI"
"Yes",0,"No","No",8,"Yes","Yes","Electronics","No","No","Yes","No","Yes","Antwerp","China","Yes","Electronic check",90.45,593.45,"Yes","1579-KLYDT"
"No",0,"No","No",48,"Yes","No","Clothing","No","No","Yes","Yes","Yes","Brussels","Africa","No","Mailed check",74.45,3510.3,"No","5232-NXPAY"
"No",0,"No","No",15,"Yes","No","Clothing","No","Yes","No","No","No","Antwerp","China","No","Electronic check",50.45,765.45,"No","8967-SZQAS"
"No",1,"Yes","No",21,"Yes","No","Clothing","No","Yes","No","No","No","Brussels","China","Yes","Electronic check",60,1259.35,"No","4468-KAZHE"
"Yes",0,"Yes","No",67,"Yes","Yes","Clothing","Yes","Yes","No","Yes","Yes","Brussels","Africa","No","Electronic check",85.25,5538.35,"No","0455-ENTCR"
"Yes",0,"Yes","No",16,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","Yes","Credit card (automatic)",19.45,340.85,"No","8944-AILEF"
"No",0,"No","No",43,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","Yes","Bank transfer (automatic)",20.75,844.45,"No","5542-NKVRU"
"No",0,"Yes","No",18,"Yes","Yes","Electronics","Yes","No","No","No","No","Antwerp","China","No","Electronic check",78.9,1348.95,"No","7126-RBHSD"
"Yes",0,"No","No",38,"Yes","Yes","Electronics","No","Yes","No","Yes","Yes","Brussels","US","Yes","Credit card (automatic)",104.5,3778,"No","5370-IIVVL"
"No",0,"No","No",13,"Yes","No","Clothing","No","Yes","No","No","No","Antwerp","China","Yes","Electronic check",49.4,611.65,"No","6789-HJBWG"
"Yes",0,"Yes","No",54,"Yes","No","Electronics","No","Yes","No","No","Yes","Brussels","US","Yes","Bank transfer (automatic)",94.25,4867.95,"Yes","3927-NLNRY"
"No",0,"No","No",61,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Mailed check",25,1505.05,"No","9087-EYCPR"
"Yes",0,"Yes","Yes",19,"No",NA,"Clothing","No","No","No","No","No","Antwerp","China","No","Credit card (automatic)",25.55,467.85,"No","6791-YBNAK"
"Yes",0,"No","No",2,"Yes","Yes","Electronics","No","No","No","No","No","Antwerp","China","Yes","Electronic check",74.9,74.9,"Yes","6358-LYNGM"
